"year","reefName","cotsPerTow","softCorCov","hardCorCov","source","bleachPercent","bleachSeverity","sourceBoth","controlled","x","y"
1986,"Celebration Reef (13-041)",0.0677966101694915,NaN,23.7203389830508,"AIMS",NaN,NaN,FALSE,FALSE,143.69355774,-13.27611446
1986,"Centipede Reef (18-088)",0.0434782608695652,NaN,22.8913043478261,"AIMS",NaN,NaN,FALSE,FALSE,147.54231262,-18.72175407
1986,"Central Reef (21-577)",0,NaN,47.4871794871795,"AIMS",NaN,NaN,FALSE,FALSE,152.5219574,-21.92190361
1986,"Charity Reef (19-047)",0,NaN,35.0588235294118,"AIMS",NaN,NaN,FALSE,FALSE,148.33796692,-19.36690331
1986,"Chicken Reef (18-086)",0.0333333333333333,NaN,36,"AIMS",NaN,NaN,FALSE,FALSE,147.71723938,-18.64651299
1986,"Chinaman Reef (22-102)",0.075,NaN,27.0625,"AIMS",NaN,NaN,FALSE,FALSE,152.65826416,-22.0051918
1986,"Clack Reef (14-017)",0,NaN,34.8650793650794,"AIMS",NaN,NaN,FALSE,FALSE,144.24232483,-14.06813049
1986,"Coates Reef (17-011)",0,NaN,18.234375,"AIMS",NaN,NaN,FALSE,FALSE,146.36857605,-17.19708824
1986,"Coil Reef (18-046)",0,NaN,50.4,"AIMS",NaN,NaN,FALSE,FALSE,147.5223999,-18.43486214
1986,"Conder Reef (19-219)",0,NaN,35.625,"AIMS",NaN,NaN,FALSE,FALSE,150.19985962,-19.92139053
1986,"Crab Reef (19-177)",0,NaN,28.5769230769231,"AIMS",NaN,NaN,FALSE,FALSE,149.70863342,-19.7245388
1986,"Creal Reef (20-297)",0,NaN,43,"AIMS",NaN,NaN,FALSE,FALSE,150.38142395,-20.53423691
1986,"Credlin Reefs (East) (20-287)",0,NaN,35.6538461538462,"AIMS",NaN,NaN,FALSE,FALSE,149.95120239,-20.54021454
1986,"Curd Reef (12-102)",0.032258064516129,NaN,20.8225806451613,"AIMS",NaN,NaN,FALSE,FALSE,143.54925537,-12.58115005
1986,"Darley Reef (19-043)",0,NaN,26.0817757009346,"AIMS",NaN,NaN,FALSE,FALSE,148.18327332,-19.19681931
1986,"Davie Reef (13-130)",0,NaN,44.0416666666667,"AIMS",NaN,NaN,FALSE,FALSE,144.45483398,-13.97737408
1986,"Davies Reef (18-096)",0.0657894736842105,NaN,21.3092105263158,"AIMS",NaN,NaN,FALSE,FALSE,147.64483643,-18.8224926
1986,"Day Reef (14-089)",0.0714285714285714,NaN,15.8214285714286,"AIMS",NaN,NaN,FALSE,FALSE,145.53677368,-14.49668884
1986,"Devlin Reef (11-229a)",0,NaN,39.9444444444444,"AIMS",NaN,NaN,FALSE,FALSE,143.85604858,-11.82583523
1986,"Dicks Reef (22-141)",0.0555555555555556,NaN,43.4166666666667,"AIMS",NaN,NaN,FALSE,FALSE,152.66279602,-22.30785561
1986,"Dip Reef (18-039)",4.56603773584906,NaN,34.6509433962264,"AIMS",NaN,NaN,FALSE,FALSE,147.44873047,-18.41375351
1986,"Edgell Reefs (No 4) (20-128)",0,NaN,15.8982300884956,"AIMS",NaN,NaN,FALSE,FALSE,150.00967407,-20.12045288
1986,"Edgell Reefs (No 5) (20-112)",0,NaN,11.9854368932039,"AIMS",NaN,NaN,FALSE,FALSE,149.93690491,-20.13447762
1986,"Egret Reef (15-013)",0,NaN,15.3134328358209,"AIMS",NaN,NaN,FALSE,FALSE,145.41749573,-15.47411537
1986,"Elford Reef (16-073)",0.0140845070422535,NaN,22.3661971830986,"AIMS",NaN,NaN,FALSE,FALSE,146.24856567,-16.9116478
1986,"Ellison Reef (17-044)",0.204819277108434,NaN,16.289156626506,"AIMS",NaN,NaN,FALSE,FALSE,146.39360046,-17.72225189
1986,"Evening Reef (15-095)",0,NaN,26.780487804878,"AIMS",NaN,NaN,FALSE,FALSE,145.65682983,-15.90518665
1986,"Eye Reef (14-134)",0,NaN,10.8571428571429,"AIMS",NaN,NaN,FALSE,FALSE,145.47799683,-14.89468002
1986,"Faith Reef (19-044)",0,NaN,32.9090909090909,"AIMS",NaN,NaN,FALSE,FALSE,148.349823,-19.27865601
1986,"Faraday Reef (18-041)",1,NaN,37.8026315789474,"AIMS",NaN,NaN,FALSE,FALSE,147.34922791,-18.42234421
1986,"Feather Reef (17-034)",0,NaN,10.0661764705882,"AIMS",NaN,NaN,FALSE,FALSE,146.37722778,-17.5328598
1986,"Fife Reef (13-081)",0,NaN,29.3425925925926,"AIMS",NaN,NaN,FALSE,FALSE,143.73074341,-13.65333939
1986,"Fitzroy Reef (23-077)",0.0961538461538462,NaN,35.375,"AIMS",NaN,NaN,FALSE,FALSE,152.14743042,-23.63306427
1986,"Flora Reef (17-010)",0,NaN,11.5909090909091,"AIMS",NaN,NaN,FALSE,FALSE,146.29089355,-17.1848011
1986,"Flynn Reef (16-065)",0,NaN,29.5909090909091,"AIMS",NaN,NaN,FALSE,FALSE,146.27462769,-16.72874832
1986,"Fore And Aft Reef (18-043)",1,NaN,5.32386363636364,"AIMS",NaN,NaN,FALSE,FALSE,147.03765869,-18.50482941
1986,"Forrester Reef (15-009)",0,NaN,15.6712328767123,"AIMS",NaN,NaN,FALSE,FALSE,145.49612427,-15.16672802
1986,"Frigate Reef (21-511)",0,NaN,62.1447368421053,"AIMS",NaN,NaN,FALSE,FALSE,152.42849731,-21.73435974
1986,"Gannett Cay Reef (21-556)",0.375,NaN,70.9166666666667,"AIMS",NaN,NaN,FALSE,FALSE,152.47738647,-21.98163605
1986,"Gibson Reef (17-017)",0,NaN,8.25806451612903,"AIMS",NaN,NaN,FALSE,FALSE,146.35955811,-17.30199242
1986,"Gilbey Reef (17-057)",0,NaN,18.056338028169,"AIMS",NaN,NaN,FALSE,FALSE,146.57826233,-17.58052826
1986,"Glow Reef (18-071)",3.93939393939394,NaN,19.8939393939394,"AIMS",NaN,NaN,FALSE,FALSE,147.40255737,-18.52807808
1986,"Goble Reefs (East) (20-305)",0,NaN,19.2426900584795,"AIMS",NaN,NaN,FALSE,FALSE,150.4846344,-20.78170204
1986,"Great Detached Reef (No 1) (11-244a)",0,NaN,25.879746835443,"AIMS",NaN,NaN,FALSE,FALSE,144.01834106,-11.68136787
1986,"Great Detached Reef (No 2) (11-244b)",0,NaN,32.4827586206897,"AIMS",NaN,NaN,FALSE,FALSE,144.07032776,-11.77790546
1986,"Great Detached Reef (No 3) (11-244c)",0,NaN,39.3819444444444,"AIMS",NaN,NaN,FALSE,FALSE,143.99763489,-11.78417778
1986,"Green Island Reef (16-049)",0,NaN,5.85526315789474,"AIMS",NaN,NaN,FALSE,FALSE,145.99865723,-16.76707268
1986,"Grub Reef (14-003)",0.00581395348837209,NaN,28.6395348837209,"AIMS",NaN,NaN,FALSE,FALSE,143.98217773,-14.00527954
1986,"Grub Reef (18-077)",7.01408450704225,NaN,33.1056338028169,"AIMS",NaN,NaN,FALSE,FALSE,147.42596436,-18.62554359
1986,"Hardy Reef (19-135)",0,NaN,48.9384615384615,"AIMS",NaN,NaN,FALSE,FALSE,149.23330688,-19.76042366
1986,"Hastings Reef (16-057)",0,NaN,21.5,"AIMS",NaN,NaN,FALSE,FALSE,146.00813293,-16.51843643
1986,"Hedley Reef (17-014)",0,NaN,17.1782178217822,"AIMS",NaN,NaN,FALSE,FALSE,146.48373413,-17.22857094
1986,"Helix Reef (18-076)",16.45,NaN,34.125,"AIMS",NaN,NaN,FALSE,FALSE,147.2984314,-18.62459183
1986,"Helsdon Reef (14-135)",0,NaN,17.4444444444444,"AIMS",NaN,NaN,FALSE,FALSE,145.48800659,-14.93945408
1986,"Hicks Reef (14-086)",0,NaN,12.0591397849462,"AIMS",NaN,NaN,FALSE,FALSE,145.4821167,-14.45256233
1986,"Hilder Reef (14-085)",0,NaN,7.05263157894737,"AIMS",NaN,NaN,FALSE,FALSE,145.41036987,-14.44501114
1986,"Hook Reef (19-136a)",0,NaN,24.0557324840764,"AIMS",NaN,NaN,FALSE,FALSE,149.18539429,-19.79242516
1986,"Hope Reef (16-058)",0,NaN,49.0416666666667,"AIMS",NaN,NaN,FALSE,FALSE,146.12957764,-16.52711296
1986,"Hope Reef (19-046)",0,NaN,33.1282051282051,"AIMS",NaN,NaN,FALSE,FALSE,148.43589783,-19.32163239
1986,"Hopkinson Reef (18-073)",18.921568627451,NaN,8.14705882352941,"AIMS",NaN,NaN,FALSE,FALSE,147.19277954,-18.55063438
1986,"Hutchison Reef (17-043c)",0,NaN,10.5,"AIMS",NaN,NaN,FALSE,FALSE,146.16906738,-17.67407036
1986,"Hyde Reef (19-207)",0,NaN,19.3958333333333,"AIMS",NaN,NaN,FALSE,FALSE,150.08551025,-19.75622559
1986,"Jaguar Reef (18-120)",0,NaN,25.3780487804878,"AIMS",NaN,NaN,FALSE,FALSE,148.42677307,-18.9756794
1986,"Jessie-Kent Reef (17-043a)",0,NaN,4.3,"AIMS",NaN,NaN,FALSE,FALSE,146.17663574,-17.67463112
1986,"Joan Reef (13-128)",0,NaN,35.9,"AIMS",NaN,NaN,FALSE,FALSE,144.34959412,-13.94645691
1986,"John Brewer Reef (18-075)",4.15217391304348,NaN,7.23913043478261,"AIMS",NaN,NaN,FALSE,FALSE,147.05296326,-18.63109779
1986,"Jupiter Reef (18-115)",0,NaN,23.5434782608696,"AIMS",NaN,NaN,FALSE,FALSE,148.25306702,-18.92404175
1986,"Kangaroo Reef (East) (19-063a)",0,NaN,24.576354679803,"AIMS",NaN,NaN,FALSE,FALSE,148.61715698,-19.26265907
1986,"Kangaroo Reef (West) (19-063b)",0,NaN,37.0972222222222,"AIMS",NaN,NaN,FALSE,FALSE,148.55070496,-19.25987816
1986,"Keeper Reef (18-079)",3.17543859649123,NaN,11.4649122807018,"AIMS",NaN,NaN,FALSE,FALSE,147.26829529,-18.74611664
1986,"Kelso Reef (18-030)",2.15151515151515,NaN,8.1969696969697,"AIMS",NaN,NaN,FALSE,FALSE,146.99006653,-18.43645859
1986,"Knife Reef (18-081)",0.542857142857143,NaN,19,"AIMS",NaN,NaN,FALSE,FALSE,147.57148743,-18.57635307
1986,"Knuckle Reef (19-116)",0.00884955752212389,NaN,23.962389380531,"AIMS",NaN,NaN,FALSE,FALSE,149.27287292,-19.53398705
1986,"Lagoon Reef (12-061)",0,NaN,31.5483870967742,"AIMS",NaN,NaN,FALSE,FALSE,143.75706482,-12.38443565
1986,"Leopard Reef (19-050)",0,NaN,16.5344827586207,"AIMS",NaN,NaN,FALSE,FALSE,148.69210815,-19.0863533
1986,"Line Reef (19-128)",0,NaN,12.7203389830508,"AIMS",NaN,NaN,FALSE,FALSE,149.18353271,-19.68999863
1986,"Linnet Reef (14-126)",0,NaN,27.7558139534884,"AIMS",NaN,NaN,FALSE,FALSE,145.34443665,-14.78665161
1986,"Little Boydong Reef (11-061)",0,NaN,30.2,"AIMS",NaN,NaN,FALSE,FALSE,143.04064941,-11.48878002
1986,"Llewellyn Reef (23-078)",0,NaN,45.5287356321839,"AIMS",NaN,NaN,FALSE,FALSE,152.18093872,-23.69460678
1986,"Lodestone Reef (18-078)",1.1,NaN,10.1666666666667,"AIMS",NaN,NaN,FALSE,FALSE,147.10308838,-18.69019508
1986,"Long Sandy Reef (12-094)",0,NaN,24.9578313253012,"AIMS",NaN,NaN,FALSE,FALSE,143.79371643,-12.53452587
1986,"Low Islands Reef (16-028)",0,NaN,26.8333333333333,"AIMS",NaN,NaN,FALSE,FALSE,145.56443787,-16.38615227
1986,"MacGillivray Reef (14-114)",0,NaN,29.9117647058824,"AIMS",NaN,NaN,FALSE,FALSE,145.49102783,-14.6519022
1986,"Mackay Reef (16-015)",0,NaN,16.9583333333333,"AIMS",NaN,NaN,FALSE,FALSE,145.64700317,-16.04948044
1986,"Maori Reef (17-006)",0,NaN,16.1988636363636,"AIMS",NaN,NaN,FALSE,FALSE,146.34466553,-17.09428787
1986,"Marx Reef (15-027)",0,NaN,7.10714285714286,"AIMS",NaN,NaN,FALSE,FALSE,145.62117004,-15.19776058
1986,"Michaelmas Reef (16-060)",0.0078740157480315,NaN,27.8385826771654,"AIMS",NaN,NaN,FALSE,FALSE,146.01898193,-16.5817585
1986,"Mid Reef (19-029)",0,NaN,19.3970588235294,"AIMS",NaN,NaN,FALSE,FALSE,148.0774231,-19.07060051
1986,"Morris Island Reef (13-072)",0,NaN,27.2582417582418,"AIMS",NaN,NaN,FALSE,FALSE,143.73855591,-13.48629475
1986,"Mystery Reef (21-258)",0,NaN,27.9568965517241,"AIMS",NaN,NaN,FALSE,FALSE,152.01708984,-21.37743568
1986,"Nathan Reef (17-035)",0,NaN,15.6666666666667,"AIMS",NaN,NaN,FALSE,FALSE,146.51774597,-17.52473259
1986,"Needle Reef (18-037)",3.84210526315789,NaN,10.5,"AIMS",NaN,NaN,FALSE,FALSE,147.2053833,-18.36123848
1986,"Night Reef (13-031)",0,NaN,29.4444444444444,"AIMS",NaN,NaN,FALSE,FALSE,143.57391357,-13.18373013
1986,"No 10 Patches (No 2) (14-152)",0,NaN,10.6923076923077,"AIMS",NaN,NaN,FALSE,FALSE,145.68173218,-14.93192387
1986,"No Name Reef (14-139)",0,NaN,11.3181818181818,"AIMS",NaN,NaN,FALSE,FALSE,145.64628601,-14.64376545
1986,"Noggin Reef (17-008)",0,NaN,28.5555555555556,"AIMS",NaN,NaN,FALSE,FALSE,146.46858215,-17.12631226
1986,"Norman Reef (16-030)",0,NaN,52.5161290322581,"AIMS",NaN,NaN,FALSE,FALSE,145.99674988,-16.42810822
1986,"North West Island Reef (23-049)",0,NaN,28.2876712328767,"AIMS",NaN,NaN,FALSE,FALSE,151.77075195,-23.29514885
1986,"Old Reef (19-048)",0.049645390070922,NaN,26.0673758865248,"AIMS",NaN,NaN,FALSE,FALSE,148.08943176,-19.38344193
1986,"Osborne Reef (13-006)",0,NaN,39.7307692307692,"AIMS",NaN,NaN,FALSE,FALSE,143.62623596,-13.04178429
1986,"Outlier Reef (19-120)",0,NaN,35.55,"AIMS",NaN,NaN,FALSE,FALSE,149.35287476,-19.54730606
