"reefName","cotsPerTowMean","cotsPerTowMedian","nObs","x","y","area"
"Lark Reef (15-033)",0.37304163632136,0.00862435918790369,8,145.5735321,-15.28826046,68455180.65
"Lena Reef (15-085)",0,0,12,145.80799866,-15.64650345,8373044
"Line Reef (19-128)",0,0,4,149.18353271,-19.68999863,43267465.1
"Linnet Reef (14-126)",0.111441528932068,0,34,145.34443665,-14.78665161,3831680.402
"Little Fitzroy Island Reef (16-055)",0.0333333333333333,0,5,146.00578308,-16.92298126,104679.1258
"Little Kelso Reef (18-031)",0.392529205719433,0,17,146.99305725,-18.46914101,4695704.891
"Lizard Island Reef (Coconut Bay) (14-116c)",0,0,6,145.47232056,-14.68106556,620530.8054
"Lizard Island Reef (Lagoon) (14-116d)",0.00952380952380952,0,7,145.44981384,-14.68557739,9131347.37
"Lizard Island Reef (North East) (14-116b)",0.0281759483454399,0.0169491525423729,7,145.46611023,-14.65501785,1845044.206
"Lizard Island Reef (North West) (14-116a)",0.228072763304005,0.0219727891156463,28,145.44694519,-14.65856457,2030063.833
"Llewellyn Reef (23-078)",0.0378018119768918,0.0242718446601942,7,152.18093872,-23.69460678,22714312.01
"Lodestone Reef (18-078)",2.41871160160953,0.0421610169491525,16,147.10308838,-18.69019508,8720343.895
"Log Reef (South) (12-107)",0,0,4,143.84440613,-12.68454933,11068144.79
"Long Reef (15-019)",0.0808672065998441,0.0188679245283019,7,145.57000732,-15.05088806,11166794.22
"Low Islands Reef (16-028)",0.013172470836542,0,25,145.56443787,-16.38615227,2343205.016
"Lynchs Reef (18-091)",0.102549601011275,0.0158730158730159,9,147.70838928,-18.7698307,42276835.76
"MacGillivray Reef (14-114)",0.118709987982434,0,33,145.49102783,-14.6519022,915976.0766
"Mackay Reef (16-015)",0.0909088375392723,0,26,145.64700317,-16.04948044,6187118.395
"Mackay Reefs (15-024)",0.226257217637937,0.0185185185185185,13,145.57130432,-15.13893986,32466961.45
"Mantis Reef (12-056)",0,0,5,143.89825439,-12.28798294,28077242.72
"Maori Reef (17-006)",0.0506265664160401,0,8,146.34466553,-17.09428787,33672425.03
"Martin Reef (14-123)",0.102678495158525,0.00975420321637427,30,145.35552979,-14.76314163,10908626.43
"Marx Reef (15-027)",0.2188493130227,0,18,145.62117004,-15.19776058,1350640.903
"Mast Head Reef (23-069)",0,0,12,151.72671509,-23.52691841,37918589.59
"McCulloch Reef (No 1) (17-016a)",0.134601776880209,0,10,146.44169617,-17.28788376,26236407.7
"McSweeney Reef (11-016)",0.0803959131545338,0.075,6,143.24269104,-11.02305126,5304091.546
"Michaelmas Reef (16-060)",0.0157529733683403,0,31,146.01898193,-16.5817585,33220146.44
"Mid Reef (19-029)",2.26976926523297,0.904793906810036,6,148.0774231,-19.07060051,5625519.901
"Middle Banks (11-222a)",0.0140692640692641,0,10,143.50505066,-11.76433372,192548384.6
"Milln Reef (16-067)",0.00523809523809524,0,10,146.2653656,-16.77837372,24915551.71
"Monsoon Reef (11-029)",0.0592901234567901,0.0408333333333333,6,143.25291443,-11.12877846,4271488.762
"Moore Reef (16-071)",0.0250811517595743,0,20,146.21296692,-16.87431526,43003292.95
"Morning Reef (15-098)",0.121875,0,8,145.6651001,-15.97551823,14000875.46
"Moss Reef (17-068)",0.00161030595813205,0,9,146.79472351,-17.94563866,6956890.417
"Myrmidon Reef (18-034)",0.000805152979066023,0,27,147.38424683,-18.26569939,10703954.4
"Mystery Reef (21-258)",0.00409836065573771,0,4,152.01708984,-21.37743568,11814223.09
"Nathan Reef (17-035)",0.111624892460799,0.00304878048780488,10,146.51774597,-17.52473259,45877589.09
"No 10 Patches (No 2) (14-152)",0,0,11,145.68173218,-14.93192387,1809813.305
"No Name Reef (14-139)",0,0,31,145.64628601,-14.64376545,8742682.733
"Noggin Reef (17-008)",0.0200517946537407,0,14,146.46858215,-17.12631226,12425179.69
"Noreaster Reef (17-062)",0.895371913502105,0.0374331550802139,6,146.65055847,-17.77948189,44793290.81
"Norman Reef (16-030)",0.00451388888888889,0,20,145.99674988,-16.42810822,5284001.446
"Normanby-Mabel Reef (17-012)",0.00588235294117647,0,15,146.07714844,-17.20950317,970537.1152
"North Direction Reef (14-143)",0.0872963465455726,0,30,145.51068115,-14.74591541,691824.0823
"North Reef (North) (23-045a)",0,0,10,151.90402222,-23.18507195,5559120.642
"North West Island Reef (23-049)",0,0,4,151.77075195,-23.29514885,89375520.21
"Nymph Reef (14-115)",0.156659765355418,0,6,145.25215149,-14.65499687,1309630.301
"Obstruction Reef (21-552)",0.915314401622718,0.5,6,152.46665955,-21.96283913,711383.5601
"Ogilvie Reef (13-076)",0.00409836065573771,0,4,143.79095459,-13.52589226,37560882.42
"Old Reef (19-048)",5.8497435116017,0.161764705882353,5,148.08943176,-19.38344193,83373510.13
"One Tree Island Reef (23-055a)",0.0600105327471667,0,26,152.06114197,-23.4956665,28607035.58
"Opal Reef (16-025)",0.0896895579369255,0,24,145.8896637,-16.22089005,28536925.1
"Osborne Reef (13-006)",0.0583909490886235,0,10,143.62623596,-13.04178429,5728451.881
"Osterlund Reef (15-078)",0.178502879078695,0,4,145.53218079,-15.55632114,57142825.27
"Otter Reef (18-018)",0.0327456652657242,0.00253807106598985,6,146.55886841,-18.05222702,151479148.1
"Outlier Reef (19-120)",0,0,5,149.35287476,-19.54730606,7615799.827
"Oyster Reef (16-043a)",0.0273095698627614,0,11,145.93276978,-16.63996506,17708772.93
"Packer Reefs (20-145)",0.0034965034965035,0,11,150.20411682,-20.47503471,2799328.727
"Pasco Reef (15-018)",0.158937198067633,0,5,145.53305054,-15.04456997,2490762.691
"Pearson Reef (11-211)",0.0622561154560465,0,11,143.71586609,-11.56678677,3370359.247
"Peart Reef (17-024)",0.257539192833311,0,17,146.39112854,-17.48226547,16621028.28
"Pelican Island Reef (13-107)",0,0,6,143.84161377,-13.91487694,4186325.186
"Pellowe Reef (16-070)",0,0,6,146.35768127,-16.85753441,8083862.979
"Penrith Reef (21-025)",0,0,5,149.89796448,-21.01667213,4112704.395
"Pickersgill Reef (15-093)",0.142463078391979,0,24,145.57443237,-15.87277699,18820498.55
"Pike Reef (21-549)",0.00123076923076923,0,5,152.42330933,-21.94807434,14918809.17
"Pith Reef (18-033)",0.04,0,6,147.01611328,-18.20892143,27019362.66
"Pixie Reef (16-040)",0.030187074829932,0,14,145.86245728,-16.54697227,608856.8263
"Plaster Reef (19-147)",0.0116666666666667,0,6,149.66975403,-19.62962532,16329735.06
"Pollux Reef (19-027)",1.04308823529412,0.0625,5,148.30413818,-19.04730606,10251123.4
"Pompey Reef (No 1) (20-351a)",0,0,10,150.53518677,-20.9407692,20636628.9
"Pompey Reef (No 2) (20-351b)",0,0,10,150.52845764,-20.98368073,8329974.813
"Potter Reef (No 1) (17-059a)",0.895267857472927,0.0333333333333333,13,146.54440308,-17.69752693,20678255.56
"Poulson Reef (21-548)",0.0238095238095238,0,4,152.45889282,-21.93623352,3125462.973
"Prawn Reef (19-024)",0.0119247952106826,0,9,148.09669495,-19.02057266,31211308.04
"Quoin Reef (12-027)",0.24702380952381,0.0714285714285714,8,143.49861145,-12.4230938,31250694.17
"Rachel Carson Reef (15-092)",0,0,9,145.81944275,-15.82970524,6466316.886
"Rafter Reef (19-146)",0,0,7,149.6325531,-19.61058044,11271248.13
"Rebe Reef (19-209)",0,0,21,150.15289307,-19.79887581,7452974.707
"Recreation Reef (21-501)",0.189689921040446,0.103968253968254,6,152.44134521,-21.6783886,5060113.928
"Reg Ward Reef (18-017)",0.00796825396825397,0.00793650793650794,4,146.7850647,-18.03201485,3141819.953
"Rib Reef (18-032)",0.818364031362181,0,34,146.8711853,-18.48267555,10444160.9
"Ribbon No 1 Reef (15-080)",0,0,9,145.80508423,-15.60583305,3483791.342
"Ribbon No 10 Reef (14-146)",0,0,4,145.69813538,-14.82720089,133912404
"Ribbon No 2 Reef (No 1) (15-075a)",0,0,6,145.79620361,-15.55718899,11966234.46
"Ribbon No 3 Reef (15-050)",0,0,11,145.80554199,-15.48834705,11994023.03
"Ribbon No 4 Reef (15-046)",0,0,7,145.8008728,-15.43488216,10036879.82
"Ribbon No 5 Reef (15-038)",0,0,6,145.78292847,-15.36378002,10272046.28
"Ribbon No 6 Reef (15-032)",0,0,9,145.75184631,-15.28094673,9565399.362
"Ribbon No 7 Reef (15-026)",0,0,4,145.7383728,-15.18930244,17563467.41
"Ribbon No 8 Reef (15-021a)",0,0,5,145.72372437,-15.07281303,16402058.94
"Ribbon No 9 Reef (14-154)",0,0,12,145.70335388,-14.99295044,21525626.45
"Rocky Islets Reef (14-132a)",0.57608764436007,0.00581395348837209,6,145.47993469,-14.85496998,6132186.481
"Rodda Reef (13-127)",0.0999249497369798,0,26,144.35662842,-13.92119122,5290743.702
"Rosser Reef (15-081)",0.186130258390828,0,13,145.51507568,-15.60728073,9599238.615
"Round-Russell Reef (17-013)",0.0132107023411371,0,13,146.09152222,-17.22398567,963189.6845
"Roxburgh Reef (18-042)",0,0,14,147.05809021,-18.43182755,23629780.53
"Ruby Reef (15-088)",0,0,12,145.78079224,-15.74977016,16825393.43
"Rudder Reef (16-023)",0.20750952475319,0,17,145.69342041,-16.19220161,48878669.85
"Sanctuary Reef (22-109)",0.690730335806638,0.385964912280702,7,152.67567444,-22.06676674,7831692.228
"Sand Bank No 1 Reef (14-045)",0,0,10,144.89193726,-14.20033455,6083884.332
"Sand Bank No 8 Reef (13-056)",0,0,6,143.96214294,-13.36719513,2586177.369
"Sandshoe Reef (22-133)",4.54724176891088,1.51809464893288,4,152.75704956,-22.20902634,6414884.109
"Saville-Kent Reef (18-099)",0.399460575657466,0,14,147.88334656,-18.85930061,23939323.95
"Saxon Reef (16-032)",0.00128369704749679,0,19,145.99028015,-16.46511841,2869354.33
"Scott Reef (17-004)",0.0986113278202528,0,13,146.18499756,-17.07360649,19407515.24
"Second Small Reef (12-098)",0,0,7,143.79449463,-12.58212376,1441899.118
"Shell Reef (19-028)",2.11592962592963,0.0476190476190476,11,148.18159485,-19.05929375,3584812.631
"Showers Reef (19-076)",0.126688815060908,0,10,148.89859009,-19.49141884,8205639.444
"Shrimp Reef (18-118)",0.205841161051173,0.0157490079365079,18,148.05303955,-18.96915054,36721011.59
"Sinker Reef (19-133)",0.0142857142857143,0,7,149.19891357,-19.71930695,355143.3677
"Sir Charles Hardy Islands Reef (11-184c)",0.149337629788758,0.0238095238095238,7,143.4964447,-11.91147614,195405908.7
"Slate Reef (19-159)",0.00581399277051451,0,23,149.92649841,-19.66704559,3773037.161
"Small Lagoon Reef (21-572)",0.624842953447072,0,9,152.50921631,-21.87475014,5822345.699
"South Direction Reef (North) (14-147a)",0.159214405199085,0.0263157894736842,9,145.52357483,-14.82437229,1997546.579
"South Direction Reef (South) (14-147b)",0,0,5,145.52072144,-14.81170082,1327215.174
"St Crispin Reef (16-019)",0.00822650684553025,0,30,145.83328247,-16.10412598,42825358.34
"Stanley Reef (19-045)",1.04147439486525,0.0123456790123457,13,148.0796814,-19.29451752,69544882.49
"Stapleton Reef (14-054)",0.0628286093402372,0.0135135135135135,6,144.85919189,-14.32140255,5344979.638
"Startle Reefs (15-028)",0.593092757084708,0.0590070357095447,20,145.55651855,-15.20737457,21220597.02
"Sudbury Reef (No 1) (17-001a)",0.0295573049407348,0.00331858407079646,8,146.2049408,-16.99837875,89676168.6
"Sweetlip Reef (22-140)",1.38185977183229,0.451616266944734,4,152.73731995,-22.27070427,21807939.55
"Swinger Reef (15-030)",0.438391652207442,0,19,145.53718567,-15.24224567,5268762.679
"Switzer Reef (14-061)",0.0197047397047397,0.00666666666666667,6,144.75698853,-14.36003113,15863161.31
"Sykes Reef (23-054)",0.0992232353803483,0.046218487394958,7,152.03375244,-23.43322182,18800800
"Sylvan Reef (16-017)",0.234617864405098,0,11,145.72079468,-16.07977295,1290414
"Taylor Reef (17-064)",1.76780617771922,0,15,146.54951477,-17.83285522,17939722.88
"Tern Reef (20-309)",2.44799484448952,0.0172413793103448,10,150.03265381,-20.90947533,3078293.992
"Thetford Reef (16-068)",0.040774099598709,0,30,146.18086243,-16.80299377,12838840.4
"Thomas Reef (21-497)",0,0,5,152.34248352,-21.66396904,26563742.63
