"reefName","x","y","area","cotsPerTowMeanImput","cotsPerTowMedianImput","cotsPerTowMaxImput"
"U/N Reef (10-330)",142.59162903,-10.77950287,2160417.506,1.50661480426788,0.42897555232048,12.2256565093994
"Harrington Shoal (10-331)",142.71060181,-10.79659367,1104408.176,0.830071568489075,0.17636276781559,5.42731857299805
"U/N Reef (10-332)",142.57356262,-10.82426262,976995.7342,1.49671757221222,0.429721534252167,12.2216300964355
"U/N Reef (10-333)",142.57661438,-10.8354435,454888.3485,1.49695777893066,0.395708441734314,12.2166948318481
"Four Fathom Patches (10-334)",142.68708801,-10.81985474,1683480.033,0.827771306037903,0.175966545939445,5.46249675750732
"Harrington Reef (10-335)",142.72311401,-10.82125187,1967176.707,0.771078944206238,0.175151079893112,6.34596633911133
"Wyborn Reef (10-336)",142.76223755,-10.82104492,14826625.58,0.756629526615143,0.176633805036545,6.3904185295105
"U/N Reef (10-337)",142.92880249,-10.80788326,635652.1532,0.211866319179535,0.0654303804039955,1.09676742553711
"Womer Reef (10-338)",142.98362732,-10.79982185,3090350.244,0.204809069633484,0.0654543340206146,1.01278591156006
"Brewis Reef (10-339)",142.69335938,-10.88696003,170025.6307,0.790434896945953,0.215484425425529,6.33389949798584
"Turtle Island Reef (10-340)",142.69628906,-10.88979912,289104.9077,0.768490016460419,0.179767951369286,6.36068248748779
"Shortland Reef (10-341)",142.77270508,-10.90133476,3614442.336,0.790390610694885,0.178112715482712,6.37348413467407
"Trochus Reef (10-342)",142.63183594,-10.92067909,655063.5584,0.791876792907715,0.222857177257538,6.56378555297852
"U/N Reef (10-299)",143.08961487,-10.77538872,3584080.437,0.189675450325012,0.0710497722029686,0.98536092042923
"Ida Reef (10-314)",142.55873108,-10.71000767,446261.6148,1.49933099746704,0.387342095375061,12.0211267471313
"Tree Reef (10-316)",142.5970459,-10.70428848,92028.66625,1.4987598657608,0.424762904644012,12.0019607543945
"Brush Islet Reef (10-317)",142.59786987,-10.70888901,139720.9895,1.50130462646484,0.475311994552612,12.2260084152222
"Albany Island Reef (No 1) (10-318a)",142.5929718,-10.71530914,686833.2698,1.49203217029572,0.384154826402664,12.2210731506348
"Albany Island Reef (No 2) (10-318b)",142.61784363,-10.72830391,823611.7382,0.792944133281708,0.222474679350853,6.61431884765625
"Albany Island Reef (No 3) (10-318c)",142.62330627,-10.7466259,538542.1609,0.78723806142807,0.229547008872032,6.23034763336182
"Albany Island Reef (No 4) (10-318d)",142.60494995,-10.73894119,1244505.325,1.49444127082825,0.437447428703308,12.2216300964355
"Mai Reef (10-320)",142.62464905,-10.72395611,841209.6165,0.78991961479187,0.222708567976952,6.61431884765625
"Albany Rock Reef (10-321)",142.62982178,-10.71882725,102848.6803,0.798041880130768,0.227460384368896,6.55001354217529
"North Brother Reef (10-322)",142.673172,-10.70076275,119050.1668,0.842259049415588,0.236396998167038,5.84683132171631
"Middle Brother Reef (10-323)",142.68544006,-10.71178818,674648.6183,0.776361644268036,0.214818313717842,6.57296848297119
"South Brother Reef (10-324)",142.6918335,-10.71665955,277807.0462,0.777777910232544,0.190021112561226,6.00222301483154
"North Ledge (10-325)",142.73832703,-10.68028641,5870704.893,0.77436751127243,0.177825972437859,6.77713441848755
"Meggi-Damun Reef (10-326)",142.78610229,-10.68252754,5097799.494,0.756519198417664,0.177736803889275,6.53995656967163
"South Ledge (10-327)",142.73246765,-10.70542622,37291164.12,0.748954236507416,0.176826849579811,6.5777006149292
"Ulfa Reef (10-328)",142.6144104,-10.75758648,71451.27242,0.795084297657013,0.271133571863174,5.99004650115967
"Ariel Bank (10-329)",142.62519836,-10.77074623,292911.8465,0.783269882202148,0.180475533008575,6.5842113494873
"U/N Reef (10-401)",143.80076599,-10.80318642,1175637.663,0.316475957632065,0.0241703446954489,1.45730721950531
"U/N Reef (10-402)",144.0065918,-10.80548668,8142323.234,0.10154152661562,0.0169695075601339,0.107353948056698
"U/N Reef (10-403)",143.99606323,-10.82373524,4455304.058,0.280876129865646,0.0182359647005796,0.764724135398865
"U/N Reef (10-404)",143.82380676,-10.82510948,2700243.591,0.324645072221756,0.0208682622760534,1.22159588336945
"U/N Reef (10-405)",143.75805664,-10.84616756,4310622.378,0.358845055103302,0.0234643183648586,1.2117133140564
"U/N Reef (10-406)",144.01449585,-10.84487152,9094857.281,0.0972728729248047,0.0164250079542398,0.112417362630367
"U/N Reef (10-407a)",143.98451233,-10.86612701,1575952.246,0.233961895108223,0.0191795788705349,0.815305709838867
"Turtle Head Island Reef (No 1) (10-343a)",142.70593262,-10.93688488,209905.7538,0.782109200954437,0.193912357091904,6.33389949798584
"Turtle Head Island Reef (No 2) (10-343b)",142.7061615,-10.94753647,675406.6945,0.78203022480011,0.178736165165901,6.34893035888672
"Tern Reef (10-344)",142.76638794,-10.99002266,225186.9092,0.761324167251587,0.193414568901062,5.74206924438477
"U/N Reef (10-348)",143.25215149,-10.68365002,1456574.305,0.174139633774757,0.0674208253622055,0.674455463886261
"U/N Reef (10-349)",143.43374634,-10.69710159,1353940.696,0.173691853880882,0.0608011558651924,0.221647366881371
"U/N Reef (10-350)",143.46632385,-10.69664955,506132.7084,0.174138262867928,0.0577361956238747,0.176336735486984
"U/N Reef (10-351)",143.19032288,-10.73180485,5809646.41,0.192723914980888,0.0645433440804482,0.733891189098358
"U/N Reef (10-352)",143.33677673,-10.73468304,4742292.948,0.170375019311905,0.0601497627794743,0.268279999494553
"U/N Reef (10-353)",143.09373474,-10.75188351,2480863.091,0.179062768816948,0.0647576227784157,1.01642417907715
"U/N Reef (10-354)",143.3717804,-10.75227928,502536.5353,0.275819331407547,0.0722673088312149,-0.052457008510828
"U/N Reef (10-355)",143.32429504,-10.75677586,1592462.506,0.204511851072311,0.115307591855526,0.298863768577576
"U/N Reef (10-356)",143.41204834,-10.77616978,1461091.014,0.168568313121796,0.0544345714151859,0.240571215748787
"U/N Reef (10-357)",143.35340881,-10.80583096,2565626.916,0.230462700128555,0.0631324127316475,0.296850621700287
"U/N Reef (10-358)",143.3356781,-10.83780289,9277107.127,0.187157064676285,0.0566364005208015,0.327770233154297
"U/N Reef (10-359)",143.45957947,-10.94054508,4044966.692,0.203991875052452,0.0545010194182396,0.216489121317863
"U/N Reef (10-360)",143.298172,-10.83911419,785924.0081,0.187376379966736,0.120199620723724,0.435877591371536
"U/N Reef (10-361)",143.40377808,-10.84895229,2003005.896,0.217970997095108,0.0523042306303978,0.225637212395668
"U/N Reef (10-362)",143.23895264,-10.85297012,1693837.706,0.188257932662964,0.116494528949261,0.667656421661377
"U/N Reef (10-363)",143.24015808,-10.89503193,947496.2735,0.189701825380325,0.117600806057453,0.676416277885437
"U/N Reef (10-364)",143.21000671,-10.89760017,1280078.588,0.197356224060059,0.119145780801773,0.660576999187469
"Linda Reef (10-365)",143.17781067,-10.90662861,1432454.555,0.208778515458107,0.118728466331959,0.986228287220001
"U/N Reef (10-366)",143.2897644,-10.90393257,439845.7328,0.175328969955444,0.0905701518058777,0.378405332565308
"U/N Reef (10-367)",143.38287354,-10.90547371,4172420.469,0.161296978592873,0.0576838217675686,0.312554031610489
"U/N Reef (10-368)",143.31407166,-10.91513443,4592169.35,0.194252252578735,0.0957444235682487,0.320669174194336
"U/N Reef (10-369)",143.2959137,-10.93176079,1625070.039,0.187200888991356,0.117302589118481,0.439903646707535
"U/N Reef (10-370)",143.21829224,-10.93246841,549569.8686,0.236482113599777,0.0989914163947105,0.638498306274414
"U/N Reef (10-371)",143.24234009,-10.9469099,1465992.208,0.191748693585396,0.11801915615797,0.68044239282608
"U/N Reef (10-372)",143.15708923,-10.9502964,843719.5022,0.200646713376045,0.0908693894743919,1.02398979663849
"U/N Reef (10-373)",143.13014221,-10.95202541,769750.5563,0.20855849981308,0.0889866948127747,0.952754616737366
"U/N Reef (10-374)",143.35983276,-10.93915176,3871844.46,0.182269632816315,0.0955332219600677,0.349716305732727
"U/N Reef (10-375a)",143.3997345,-10.96371174,2509828.467,0.18524394929409,0.0650478675961494,0.342717498540878
"U/N Reef (10-375b)",143.4256134,-10.9675951,2882751.267,0.180501058697701,0.0568867586553097,0.327538639307022
"U/N Reef (10-376)",143.1255188,-10.98665619,1185132.549,0.212029978632927,0.0890439078211784,0.977467000484467
"U/N Reef (10-378)",143.51068115,-10.90591812,5264514.289,0.24965526163578,0.0647846609354019,0.168144211173058
"U/N Reef (10-381)",143.9644928,-10.68788147,11295316.15,0.289547741413116,0.0190331321209669,0.938269972801208
"U/N Reef (10-382)",143.78704834,-10.70289612,4219894.175,0.386773228645325,0.0230043232440948,1.91470539569855
"U/N Reef (10-384)",143.96377563,-10.70974445,9817092.773,0.269277781248093,0.0184253100305796,1.06242704391479
"U/N Reef (10-385)",143.95874023,-10.72497368,1558279.24,0.277329862117767,0.0178717188537121,1.11678719520569
"U/N Reef (10-386)",143.97961426,-10.72316742,4548648.388,0.232645243406296,0.0160852428525686,1.0058730840683
"U/N Reef (10-387)",143.52099609,-10.69328785,7258628.905,0.20552970468998,0.0543782524764538,0.11189641803503
"U/N Reef (10-389)",143.96478271,-10.73436737,1190531.907,0.284595906734467,0.0461070574820042,1.13940870761871
"U/N Reef (10-390)",143.9733429,-10.7404232,3266909.739,0.280604422092438,0.0448491871356964,1.07246768474579
"Triangle Reef (10-391)",143.98234558,-10.75539112,17977690.64,0.284503877162933,0.0181929748505354,0.868988931179047
"U/N Reef (10-392)",143.60650635,-10.74197769,82586639.11,0.369613885879517,0.0984838902950287,1.17423141002655
"U/N Reef (10-393)",143.74429321,-10.74233627,19158862.63,0.284927189350128,0.0233787167817354,1.64083158969879
"U/N Reef (10-394)",143.50572205,-10.76967049,844466.3987,0.179310381412506,0.0774192661046982,0.258431494235992
"U/N Reef (10-395)",143.69085693,-10.78934574,4385149.712,0.258907556533813,0.02570416405797,0.673407673835754
"U/N Reef (10-396)",143.71661377,-10.77029133,2526395.391,0.334697604179382,0.0287040341645479,1.50592148303986
"U/N Reef (10-397)",143.84376526,-10.76665306,738098.7974,0.373815923929214,0.0297550074756145,2.31969237327576
"U/N Reef (10-398)",143.97547913,-10.77815247,3949463.79,0.29235178232193,0.0177474580705166,0.803352415561676
"U/N Reef (10-399)",143.98529053,-10.78567314,4217329.909,0.236314386129379,0.0172588601708412,0.803695619106293
"U/N Reef (10-400)",143.98979187,-10.79434872,3563194.387,0.238985180854797,0.0170103460550308,0.893729150295258
"U/N Reef (10-426)",144.01452637,-10.95084667,4648055.05,0.115864925086498,0.0159422494471073,0.0758073404431343
"U/N Reef (10-427)",143.51144409,-10.94451904,9991536.536,0.26043426990509,0.0652089640498161,0.103526599705219
"U/N Reef (10-428a)",143.99876404,-10.83556843,415659.7406,0.261227875947952,0.0540187321603298,0.823991417884827
"U/N Reef (10-428b)",144.00891113,-10.83007717,438895.6996,0.136320009827614,0.0766422525048256,0.134493231773376
"U/N Reef (10-429)",142.56591797,-10.72224331,94413.6836,1.50130462646484,0.475311994552612,12.2068424224854
"U/N Reef (10-430)",142.57713318,-10.72992325,134865.6037,1.50511050224304,0.477764457464218,12.2260084152222
"U/N Reef (10-431)",142.5796051,-10.79875946,304334.4618,1.49637293815613,0.422113388776779,12.2166948318481
