"reefName","cotsPerTowMeanImput","cotsPerTowMedianImput","cotsPerTowMaxImput","x","y","area"
"U/N Reef (10-375b)",NaN,NaN,NaN,143.4256134,-10.9675951,2882751.267
"U/N Reef (10-376)",NaN,NaN,NaN,143.1255188,-10.98665619,1185132.549
"U/N Reef (10-378)",NaN,NaN,NaN,143.51068115,-10.90591812,5264514.289
"U/N Reef (10-381)",NaN,NaN,NaN,143.9644928,-10.68788147,11295316.15
"U/N Reef (10-382)",NaN,NaN,NaN,143.78704834,-10.70289612,4219894.175
"U/N Reef (10-384)",NaN,NaN,NaN,143.96377563,-10.70974445,9817092.773
"U/N Reef (10-385)",NaN,NaN,NaN,143.95874023,-10.72497368,1558279.24
"U/N Reef (10-386)",NaN,NaN,NaN,143.97961426,-10.72316742,4548648.388
"U/N Reef (10-387)",NaN,NaN,NaN,143.52099609,-10.69328785,7258628.905
"U/N Reef (10-389)",NaN,NaN,NaN,143.96478271,-10.73436737,1190531.907
"U/N Reef (10-390)",NaN,NaN,NaN,143.9733429,-10.7404232,3266909.739
"Triangle Reef (10-391)",NaN,NaN,NaN,143.98234558,-10.75539112,17977690.64
"U/N Reef (10-392)",NaN,NaN,NaN,143.60650635,-10.74197769,82586639.11
"U/N Reef (10-393)",NaN,NaN,NaN,143.74429321,-10.74233627,19158862.63
"U/N Reef (10-394)",NaN,NaN,NaN,143.50572205,-10.76967049,844466.3987
"U/N Reef (10-395)",NaN,NaN,NaN,143.69085693,-10.78934574,4385149.712
"U/N Reef (10-396)",NaN,NaN,NaN,143.71661377,-10.77029133,2526395.391
"U/N Reef (10-397)",NaN,NaN,NaN,143.84376526,-10.76665306,738098.7974
"U/N Reef (10-398)",NaN,NaN,NaN,143.97547913,-10.77815247,3949463.79
"U/N Reef (10-399)",NaN,NaN,NaN,143.98529053,-10.78567314,4217329.909
"U/N Reef (10-400)",NaN,NaN,NaN,143.98979187,-10.79434872,3563194.387
"U/N Reef (10-426)",NaN,NaN,NaN,144.01452637,-10.95084667,4648055.05
"U/N Reef (10-427)",NaN,NaN,NaN,143.51144409,-10.94451904,9991536.536
"U/N Reef (10-428a)",NaN,NaN,NaN,143.99876404,-10.83556843,415659.7406
"U/N Reef (10-428b)",NaN,NaN,NaN,144.00891113,-10.83007717,438895.6996
"U/N Reef (10-429)",NaN,NaN,NaN,142.56591797,-10.72224331,94413.6836
"U/N Reef (10-430)",NaN,NaN,NaN,142.57713318,-10.72992325,134865.6037
"U/N Reef (10-431)",NaN,NaN,NaN,142.5796051,-10.79875946,304334.4618
"U/N Reef (10-432)",NaN,NaN,NaN,142.55267334,-10.83199787,1519749.482
"U/N Reef (10-434)",NaN,NaN,NaN,142.60444641,-10.75718403,983536.3528
"U/N Reef (10-436)",NaN,NaN,NaN,143.37953186,-10.84018993,68213.98758
"U/N Reef (10-437)",NaN,NaN,NaN,143.44622803,-10.89760876,2274873.267
"U/N Reef (10-438)",NaN,NaN,NaN,143.55375671,-10.93063068,455719.2922
"U/N Reef (10-439)",NaN,NaN,NaN,143.62937927,-10.97612762,49946585.74
"U/N Reef (10-440)",NaN,NaN,NaN,143.71253967,-10.94218445,14492055.95
"U/N Reef (11-325)",NaN,NaN,NaN,143.7671814,-11.01291656,22383820.8
"U/N Reef (10-442)",NaN,NaN,NaN,143.77836609,-10.98402596,1257351.822
"U/N Reef (10-443)",NaN,NaN,NaN,143.95599365,-10.74168205,17337.05356
"U/N Reef (10-444)",NaN,NaN,NaN,144.00192261,-10.93507957,268478.5149
"U/N Reef (10-445)",NaN,NaN,NaN,144.0340271,-10.91252613,185488.0447
"U/N Reef (10-800)",NaN,NaN,NaN,142.73902893,-10.81070328,2307674.573
"U/N Reef (10-801)",NaN,NaN,NaN,142.74595642,-10.99333572,321623.9086
"U/N Reef (10-807)",NaN,NaN,NaN,143.953125,-10.68521976,226497.8902
"U/N Reef (10-407b)",NaN,NaN,NaN,143.99212646,-10.86003113,804688.3738
"U/N Reef (10-408)",NaN,NaN,NaN,143.65881348,-10.85639668,1695660.535
"U/N Reef (10-409)",NaN,NaN,NaN,143.71118164,-10.85936832,1963065.433
"U/N Reef (10-410)",NaN,NaN,NaN,143.79341125,-10.86957836,1681336.972
"U/N Reef (10-411)",NaN,NaN,NaN,143.47001648,-10.80509758,11671501.5
"U/N Reef (10-411b)",NaN,NaN,NaN,143.58657837,-10.8515749,46137936.28
"U/N Reef (10-412)",NaN,NaN,NaN,144.01409912,-10.88740253,19530924.47
"U/N Reef (10-413)",NaN,NaN,NaN,143.55236816,-10.89570427,4642678.451
"U/N Reef (10-414)",NaN,NaN,NaN,144.01809692,-10.92669582,13690887.88
"U/N Reef (10-415)",NaN,NaN,NaN,143.57276917,-10.91156006,1847447.884
"U/N Reef (10-416a)",NaN,NaN,NaN,144.01524353,-10.96391392,1175125.6
"U/N Reef (10-416b)",NaN,NaN,NaN,144.03215027,-10.96593094,6245503.136
"U/N Reef (10-417)",NaN,NaN,NaN,143.46723938,-10.88192558,9078681.723
"U/N Reef (10-418a)",NaN,NaN,NaN,144.03520203,-10.9968214,7793911.962
"U/N Reef (10-418b)",NaN,NaN,NaN,144.0181427,-10.98606586,3839928.039
"U/N Reef (10-419a)",NaN,NaN,NaN,144.01290894,-11.00776577,3539701.402
"U/N Reef (10-419b)",NaN,NaN,NaN,144.01309204,-11.01794815,300484.0614
"U/N Reef (10-420)",NaN,NaN,NaN,143.99504089,-11.01778316,4943655.014
"U/N Reef (10-421)",NaN,NaN,NaN,143.36489868,-10.99041271,562684.5124
"U/N Reef (10-422)",NaN,NaN,NaN,143.29489136,-10.98697853,485979.4624
"U/N Reef (10-423)",NaN,NaN,NaN,143.66320801,-10.90422535,11105672.03
"U/N Reef (10-424)",NaN,NaN,NaN,143.75733948,-10.89969254,18386596.7
"U/N Reef (10-425)",NaN,NaN,NaN,143.53411865,-10.91361904,5074544.091
"U/N Reef (11-034)",NaN,NaN,NaN,143.09963989,-11.17448425,12830743.73
"Arnold Reef (11-001)",NaN,NaN,NaN,142.99273682,-11.00683498,608573.5313
"Thomson Islet Reef (11-002)",NaN,NaN,NaN,142.75546265,-11.02495193,77417.30232
"U/N Reef (11-003)",NaN,NaN,NaN,142.7832489,-11.0704155,2210407.321
"Gilmore Bank (11-004)",NaN,NaN,NaN,142.83700562,-11.15866852,123342.1295
"U/N Reef (11-005)",NaN,NaN,NaN,142.81132507,-11.18551826,296587.6543
"U/N Reef (11-006)",NaN,NaN,NaN,142.81231689,-11.19433308,77808.86824
"U/N Reef (11-007)",NaN,NaN,NaN,142.82400513,-11.23168468,171446.2679
"U/N Reef (11-008)",NaN,NaN,NaN,142.81898499,-11.24888897,1619232.314
"Bushy Island Reef (11-009)",NaN,NaN,NaN,142.87251282,-11.2572403,2546569.902
"Cairncross Islets Reef (11-010)",NaN,NaN,NaN,142.92893982,-11.24986839,2070661.198
"U/N Reef (11-011a)",NaN,NaN,NaN,142.82872009,-11.29018688,49626.92247
"U/N Reef (11-011b)",NaN,NaN,NaN,142.83093262,-11.29393196,42344.30238
"U/N Reef (11-012)",NaN,NaN,NaN,142.86547852,-11.37253571,1092859.376
"Halfway Islet Reef (11-013)",NaN,NaN,NaN,142.96537781,-11.3848238,1151650.978
"Pearn Reef (11-014)",NaN,NaN,NaN,142.93530273,-11.43494606,138803.0305
"U/N Reef (11-015)",NaN,NaN,NaN,142.84120178,-11.42433834,1087281.968
"McSweeney Reef (11-016)",0.0803959131545338,0.075,0.194444444444444,143.24269104,-11.02305126,5304091.546
"U/N Reef (11-017)",NaN,NaN,NaN,143.33352661,-11.02789688,6731484.476
"U/N Reef (11-018)",NaN,NaN,NaN,143.35643005,-11.0323143,2543830.868
"U/N Reef (11-019)",NaN,NaN,NaN,143.47373962,-11.02850151,1654688.51
"U/N Reef (11-020)",NaN,NaN,NaN,143.3795166,-11.03877735,1330770.885
"U/N Reef (11-021)",NaN,NaN,NaN,143.37095642,-11.05878925,653295.1231
"U/N Reef (11-022)",NaN,NaN,NaN,143.46763611,-11.04762936,27611093.91
"U/N Reef (11-023)",NaN,NaN,NaN,143.40223694,-11.07457256,2237337.345
"U/N Reef (11-024)",NaN,NaN,NaN,143.31980896,-11.07910061,15235657.29
"U/N Reef (11-025)",NaN,NaN,NaN,143.09083557,-11.06997013,17002865.5
"Sinclair Reef (11-026)",NaN,NaN,NaN,143.02845764,-11.11662197,2259719.36
"U/N Reef (11-027)",NaN,NaN,NaN,143.00056458,-11.12924671,84833.91059
"U/N Reef (11-028)",NaN,NaN,NaN,143.49406433,-11.10666275,4947698.257
"Monsoon Reef (11-029)",0.0592901234567901,0.0408333333333333,0.2,143.25291443,-11.12877846,4271488.762
"U/N Reef (11-030)",NaN,NaN,NaN,143.44126892,-11.1438036,40857823.93
"U/N Reef (11-031)",NaN,NaN,NaN,143.22291565,-11.1421051,9822348.986
"U/N Reef (11-032)",NaN,NaN,NaN,143.42150879,-11.1607399,4732532.73
"U/N Reef (11-033a)",NaN,NaN,NaN,143.39331055,-11.184021,7460965.292
"U/N Reef (11-033b)",NaN,NaN,NaN,143.39369202,-11.20446301,1669088.17
"Turning Point Patches (No 2) (11-048b)",NaN,NaN,NaN,143.54580688,-11.36818123,61789726.09
"U/N Reef (11-049)",0.223206122062829,0.0944444444444444,0.780487804878049,143.33546448,-11.36095428,3977814.943
"U/N Reef (11-050)",NaN,NaN,NaN,143.16064453,-11.37728596,8904421.082
"U/N Reef (11-051)",NaN,NaN,NaN,143.07316589,-11.37047768,162260.2543
"Cholmondeley Reef (11-052)",NaN,NaN,NaN,143.07014465,-11.38962555,8565700.988
"Jardine Reef (11-053)",NaN,NaN,NaN,143.03533936,-11.38516045,1671078.079
"U/N Reef (11-054)",NaN,NaN,NaN,143.16517639,-11.43404198,10972633.23
"Wallace Islet Reef (11-055)",NaN,NaN,NaN,143.04203796,-11.45389843,4771861.247
"Milman-Aplin Reef (11-035)",NaN,NaN,NaN,143.03083801,-11.18211842,5690563.608
"Parsons Reef (11-036)",NaN,NaN,NaN,143.1975708,-11.18444061,12891372.36
"Collette Reef (11-037)",NaN,NaN,NaN,143.31806946,-11.21540451,23976096.89
"Douglas Islet Reef (11-038)",NaN,NaN,NaN,143.00071716,-11.2432394,2045611.871
