"reefName","cotsPerTowMean","cotsPerTowMedian","cotsPerTowMax","nObs","x","y","train"
"Creech Reef (North) (13-118a)",0.00274348422496571,0,0.0246913580246914,9,144.10391235,-13.62558937,TRUE
"Crescent Reef (14-082)",0,0,0,4,145.08926392,-14.4156599,TRUE
"Curd Reef (12-102)",0.288256625393722,0.032258064516129,2.68,11,143.54925537,-12.58115005,TRUE
"Darley Reef (19-043)",0.00664096239580593,0.00188679245283019,0.0246305418719212,6,148.18327332,-19.19681931,TRUE
"Davie Reef (13-130)",0.15978354978355,0,2.52380952380952,16,144.45483398,-13.97737408,TRUE
"Davies Reef (18-096)",0.179356211479377,0.027027027027027,2.28260869565217,33,147.64483643,-18.8224926,TRUE
"Day Reef (14-089)",0.0178571428571429,0,0.0714285714285714,4,145.53677368,-14.49668884,TRUE
"Detour Reef (21-514)",0.0353862031368245,0.0231754161331626,0.107142857142857,6,152.414505,-21.76066017,TRUE
"Dicks Reef (22-141)",0.315086276005816,0.0689655172413793,1.6969696969697,9,152.66279602,-22.30785561,TRUE
"Dip Reef (18-039)",0.190251572327044,0,4.56603773584906,24,147.44873047,-18.41375351,TRUE
"Duncan Reef (18-020)",0.00274725274725275,0,0.010989010989011,4,146.78665161,-18.08373451,FALSE
"East Cay Reef (21-305)",0.0524330495134732,0,0.522388059701492,25,152.56459045,-21.48348045,FALSE
"Eddy Reef (17-047)",0.0290633612619712,0,0.160919540229885,12,146.43510437,-17.77425957,TRUE
"Edgell Reefs (No 5) (20-112)",0,0,0,7,149.93690491,-20.13447762,TRUE
"Egret Reef (15-013)",0.13246237889095,0,2.02040816326531,16,145.41749573,-15.47411537,TRUE
"Elford Reef (16-073)",0.0183637694170763,0,0.142857142857143,10,146.24856567,-16.9116478,TRUE
"Elizabeth Reef (19-082)",0.150144195275009,0,1.41860465116279,10,149.04302979,-19.32583809,TRUE
"Ellison Reef (17-044)",0.213900411557869,0,2.69491525423729,14,146.39360046,-17.72225189,TRUE
"Emily Reef (15-082)",0.747482123839951,0.0119047619047619,3.64217252396166,5,145.62632751,-15.60594273,TRUE
"Emperor Reef (21-538)",0.012949749940462,0,0.0430769230769231,5,152.44381714,-21.8837204,TRUE
"Endeavour Reef (15-089)",0.255329419439008,0,1.52054794520548,6,145.58180237,-15.77656364,TRUE
"Erskine Reef (23-068)",0.00092678405931418,0,0.0120481927710843,13,151.77363586,-23.50185394,TRUE
"Escape Reef (15-094)",0,0,0,10,145.79629517,-15.87716198,TRUE
"Euston Reef (16-063)",0.0125,0,0.0625,5,146.25227356,-16.68704605,TRUE
"Evening Reef (15-095)",0.191975795320573,0.02,2.30459770114943,17,145.65682983,-15.90518665,TRUE
"Eye Reef (14-134)",0.407692307692308,0,4.30769230769231,11,145.47799683,-14.89468002,TRUE
"Eyrie Reef (14-118)",0.100893087041992,0.0224719101123595,0.850746268656716,17,145.3792572,-14.71065998,TRUE
"Fairey Reef (No 1) (19-109a)",0.0124318658280922,0,0.0566037735849057,5,148.94335938,-19.53862,TRUE
"Fairfax Islands Reef (23-081)",0.194488022313606,0.0203318995759739,1.16216216216216,14,152.36096191,-23.86657143,TRUE
"Faith Reef (19-044)",0.684384324382336,0.0317540322580645,8.71052631578947,22,148.349823,-19.27865601,TRUE
"Fantome (Eumilli) Island Reef (18-053)",0,0,0,8,146.51159668,-18.67670441,TRUE
"Faraday Reef (18-041)",0.210144927536232,0,1,6,147.34922791,-18.42234421,TRUE
"Farquharson Reef (No 1) (17-063a)",0.18255724061124,0,1.73,13,146.51689148,-17.79090881,TRUE
"Feather Reef (17-034)",0.256264555962224,0,5.32608695652174,28,146.37722778,-17.5328598,TRUE
"Fife Reef (13-081)",0,0,0,4,143.73074341,-13.65333939,TRUE
"Fitzroy Island Reef (No 1) (16-054a)",0.00430289739500266,0,0.03125,19,145.99356079,-16.92498398,TRUE
"Fitzroy Island Reef (No 2) (16-054b)",0,0,0,5,145.98471069,-16.93302727,TRUE
"Fitzroy Reef (23-077)",0.0890635982557845,0.0262582056892779,0.5,15,152.14743042,-23.63306427,TRUE
"Flora Reef (17-010)",0.192034966090673,0,1.42222222222222,16,146.29089355,-17.1848011,TRUE
"Fly Reef (14-109)",0.0301333708145927,0.0208333333333333,0.0869565217391304,8,145.15846252,-14.50730419,TRUE
"Flynn Reef (16-065)",0,0,0,11,146.27462769,-16.72874832,TRUE
"Forbes Islands Reef (12-016b)",0.388092966916496,0.411764705882353,0.6,5,143.40895081,-12.29255772,TRUE
"Fore And Aft Reef (18-043)",0.323458462553633,0.0177165354330709,4.33333333333333,19,147.03765869,-18.50482941,TRUE
"Fork Reef (18-083)",0.0653396109936935,0,0.529411764705882,13,147.55445862,-18.6082859,TRUE
"Forrester Reef (15-009)",0.32582868708821,0.0214374482187241,2.08219178082192,18,145.49612427,-15.16672802,TRUE
"Frigate Reef (21-511)",0.187926473271301,0.037037037037037,1.10344827586207,7,152.42849731,-21.73435974,TRUE
"Gannett Cay Reef (21-556)",3.51352028938566,0.375,54.3333333333333,31,152.47738647,-21.98163605,TRUE
"Gater Reef (22-130)",2.90018939393939,0.645833333333333,10.3090909090909,4,152.69818115,-22.17048645,TRUE
"Gibson Reef (17-017)",0.0617560347746271,0,0.318181818181818,11,146.35955811,-17.30199242,TRUE
"Gilbey Reef (17-057)",1.17843311983298,0.0606382978723404,6.06666666666667,8,146.57826233,-17.58052826,TRUE
"Glow Reef (18-071)",1.74787878787879,0,4.8,5,147.40255737,-18.52807808,TRUE
"Green Island Reef (16-049)",0.0186766959618077,0,0.301724137931034,31,145.99865723,-16.76707268,TRUE
"Grub Reef (18-077)",0.861024350918205,0.0233062330623306,7.01408450704225,16,147.42596436,-18.62554359,TRUE
"Hall-Thompson Reef (17-037)",0.0155260977630489,0.00392156862745098,0.0666666666666667,5,146.45721436,-17.60943413,TRUE
"Hardy Reef (19-135)",0.123611609193501,0.0075187969924812,1.66165413533835,21,149.23330688,-19.76042366,TRUE
"Harrier Reef (15-025)",0,0,0,7,145.69720459,-15.13665295,FALSE
"Hastings Reef (16-057)",0.0283809047327529,0,0.304,31,146.00813293,-16.51843643,TRUE
