"x"
"Onslow Reef (11-043)"
"Wilds Shoal (11-044)"
"U/N Reef (11-045)"
"U/N Reef (11-046)"
"U/N Reef (11-047)"
"Turning Point Patches (No 1) (11-048a)"
"U/N Reef (11-071)"
"U/N Reef (11-072)"
"U/N Reef (11-073)"
"U/N Reef (11-074)"
"U/N Reef (11-075)"
"U/N Reef (11-076)"
"U/N Reef (11-056a)"
"U/N Reef (11-056b)"
"U/N Reef (11-056c)"
"U/N Reef (11-056d)"
"Cochin Reef (11-057)"
"Parkinson Reef (11-058)"
"Monkman Reef (11-059)"
"U/N Reef (11-060)"
"Little Boydong Reef (11-061)"
"Boydong Island Reef (11-062)"
"U/N Reef (11-063a)"
"U/N Reef (11-063b)"
"U/N Reef (11-064)"
"U/N Reef (11-065)"
"U/N Reef (11-066)"
"U/N Reef (11-067)"
"U/N Reef (11-068)"
"U/N Reef (11-069)"
"Maclennan Reef (No 1) (11-070a)"
"Maclennan Reef (No 2) (11-070b)"
"Maclennan Reef (No 3) (11-070c)"
"Indefatigable Reef (11-103)"
"U/N Reef (11-104)"
"U/N Reef (11-105)"
"U/N Reef (11-107)"
"U/N Reef (11-108)"
"U/N Reef (11-109a)"
"U/N Reef (11-109b)"
"U/N Reef (11-110)"
"U/N Reef (11-111)"
"U/N Reef (11-112)"
"U/N Reef (11-113)"
"U/N Reef (11-114)"
"U/N Reef (11-115)"
"U/N Reef (11-116)"
"U/N Reef (11-117)"
"U/N Reef (11-118a)"
"U/N Reef (11-118b)"
"U/N Reef (11-119)"
"U/N Reef (11-077)"
"U/N Reef (11-078)"
"U/N Reef (11-079)"
"U/N Reef (11-080)"
"U/N Reef (11-081)"
"U/N Reef (11-082)"
"U/N Reef (11-083)"
"U/N Reef (11-084)"
"U/N Reef (11-085)"
"U/N Reef (11-087a)"
"U/N Reef (11-087b)"
"U/N Reef (11-088)"
"U/N Reef (11-089a)"
"U/N Reef (11-089b)"
"U/N Reef (11-090)"
"U/N Reef (11-091)"
"U/N Reef (11-092)"
"U/N Reef (11-093)"
"U/N Reef (11-094)"
"U/N Reef (11-095)"
"U/N Reef (11-096)"
"U/N Reef (11-097)"
"Risk Reef (11-098)"
"U/N Reef (11-099)"
"Shadwell Reef (11-100)"
"U/N Reef (11-101)"
"U/N Reef (11-102)"
"U/N Reef (11-157)"
"U/N Reef (11-158)"
"U/N Reef (11-120)"
"U/N Reef (11-121)"
"U/N Reef (11-122)"
"U/N Reef (11-123)"
"U/N Reef (11-124)"
"Stark Reef (11-125)"
"U/N Reef (11-126a)"
"U/N Reef (11-126b)"
"U/N Reef (11-127a)"
"U/N Reef (11-127b)"
"U/N Reef (11-128)"
"U/N Reef (11-129)"
"Moulter Reef (11-130)"
"Saunders Reef (11-131)"
"Hunter Reefs (11-132)"
"U/N Reef (11-133)"
"Pirie Reef (11-134)"
"U/N Reef (11-135)"
"Hannibal Islands Reef (11-136)"
"U/N Reef (11-137)"
"MacArthur Islands Reef (11-138)"
"U/N Reef (11-139)"
"U/N Reef (11-140)"
"U/N Reef (11-141)"
"U/N Reef (11-142)"
"U/N Reef (11-143)"
"U/N Reef (11-144)"
"U/N Reef (11-145)"
"Nigger Head Reef (11-146)"
"U/N Reef (11-147)"
"U/N Reef (11-148)"
"U/N Reef (11-149)"
"U/N Reef (11-150)"
"U/N Reef (11-151)"
"U/N Reef (11-152)"
"U/N Reef (11-153)"
"U/N Reef (11-154)"
"U/N Reef (11-155)"
"Wizard Reef (11-156)"
"Bird Islands Reef (South) (11-169)"
"Chimmo Shoal (11-170)"
"Guthray Reef (11-171)"
"U/N Reef (11-172)"
"Cockburn Reef (11-173)"
"Magra Reef (11-174)"
"U/N Reef (11-175)"
"Rodney Reef (11-176)"
"U/N Reef (11-177)"
"Cockburn Patch (11-178)"
"Erlangen Patch (11-179)"
"Paluma Shoal (11-180)"
"U/N Reef (11-159)"
"U/N Reef (11-160)"
"Viking Reef (11-161)"
"U/N Reef (11-162)"
"U/N Reef (11-163)"
"U/N Reef (11-164)"
"Thrush Reef (11-165)"
"Forwood Reef (11-166)"
"Bird Islands Reef (North) (11-167)"
"Fairway Reef (11-168)"
"Three Reefs (11-223)"
"U/N Reef (11-224)"
"U/N Reef (11-225)"
"U/N Reef (11-226)"
"U/N Reef (11-227)"
"Wood Reef (11-228)"
"Sunday Reef (11-181)"
"Bremner Shoal (11-182)"
"Outer Reef (11-183)"
"Queue Reef (11-184a)"
"Wreck Reef (11-184b)"
"Sir Charles Hardy Islands Reef (11-184c)"
"Nob Reef (11-185)"
"U/N Reef (11-186)"
"Harvey Reef (11-187)"
"Clerke Reef (11-188)"
"Perry Reef (11-189)"
"Cape Grenville Reef (No 1) (11-190a)"
"Cape Grenville Reef (No 2) (11-190b)"
"Cape Grenville Reef (No 3) (11-190c)"
"Hicks Reef (11-191)"
"Middle Reef (11-192)"
"Twin Reefs (North) (11-193a)"
"Twin Reefs (South) (11-193b)"
"Gore Reef (11-194)"
"South Reef (11-195)"
"U/N Reef (11-196)"
"U/N Reef (11-197)"
"Siddons Reef (11-200)"
"U/N Reef (11-201)"
"U/N Reef (11-202)"
"U/N Reef (11-203)"
"U/N Reef (11-204)"
"U/N Reef (11-205)"
"U/N Reef (11-206)"
"U/N Reef (11-207)"
"U/N Reef (11-208a)"
"U/N Reef (11-208b)"
"U/N Reef (11-209)"
"U/N Reef (11-210a)"
"U/N Reef (11-210b)"
"Pearson Reef (11-211)"
"Jukes Reef (11-212)"
"U/N Reef (11-213)"
"Bowles Reef (11-214)"
"U/N Reef (11-215)"
"U/N Reef (11-216)"
"U/N Reef (11-263)"
"U/N Reef (11-264)"
"U/N Reef (11-217)"
"U/N Reef (11-218)"
"U/N Reef (11-219)"
"U/N Reef (11-220)"
"U/N Reef (11-221)"
"Salamander Reef (11-222b)"
"Raine Reef (11-243)"
"Great Detached Reef (No 1) (11-244a)"
"Great Detached Reef (No 2) (11-244b)"
"Great Detached Reef (No 3) (11-244c)"
"Great Detached Reef (No 4) (11-244d)"
"U/N Reef (11-245)"
"Passage Reef (11-246)"
"U/N Reef (11-247)"
"U/N Reef (11-248)"
"U/N Reef (11-249)"
"U/N Reef (11-250)"
"U/N Reef (11-251)"
"U/N Reef (11-252)"
"U/N Reef (11-253)"
"U/N Reef (11-254)"
"U/N Reef (11-255)"
"U/N Reef (11-256)"
"U/N Reef (11-257)"
"U/N Reef (11-258)"
"U/N Reef (11-259)"
"U/N Reef (11-260)"
"U/N Reef (11-261)"
"U/N Reef (11-262)"
"Devlin Reef (11-229a)"
"U/N Reef (11-229b)"
"U/N Reef (11-230)"
"U/N Reef (11-231)"
"Five Reefs (11-232)"
"U/N Reef (11-233)"
"U/N Reef (11-234)"
"U/N Reef (11-235)"
"U/N Reef (11-236)"
"Ashmore Banks (No 1) (11-237a)"
"Ashmore Banks (No 2) (11-237b)"
"Ashmore Banks (No 3) (11-237c)"
"U/N Reef (11-238)"
"Star Reef (11-239)"
"Yule Detached Reef (11-240)"
"Job Reef (11-241)"
"U/N Reef (11-242)"
"Nomad Reef (12-007)"
"Tyrrel Reefs (12-008)"
"Pickard Reef (12-009)"
"Kay Reef (12-010)"
"Beesley-Baird Reef (12-011)"
"U/N Reef (11-265)"
"U/N Reef (11-266)"
"U/N Reef (11-267)"
"U/N Reef (11-268)"
"U/N Reef (11-269)"
"U/N Reef (11-270)"
"U/N Reef (11-271)"
"U/N Reef (11-272)"
"U/N Reef (11-273)"
"U/N Reef (11-274)"
"U/N Reef (11-275)"
"U/N Reef (11-276)"
"U/N Reef (11-277)"
"U/N Reef (11-278)"
"U/N Reef (11-279)"
"U/N Reef (11-280)"
"U/N Reef (11-281)"
"U/N Reef (11-282)"
"U/N Reef (11-283)"
"U/N Reef (11-284)"
"U/N Reef (11-285)"
"U/N Reef (11-286)"
"U/N Reef (11-287)"
"U/N Reef (11-289)"
"U/N Reef (11-290)"
"U/N Reef (11-291)"
"U/N Reef (11-292)"
"U/N Reef (11-293)"
"U/N Reef (11-294)"
"U/N Reef (11-295)"
"U/N Reef (11-296)"
"U/N Reef (11-297)"
"U/N Reef (11-298)"
"U/N Reef (11-299)"
"U/N Reef (11-300)"
"U/N Reef (11-301)"
"U/N Reef (11-302)"
"Great Detached Reef (No 6) (11-244f)"
"U/N Reef (11-304)"
"U/N Reef (11-305)"
"U/N Reef (11-306)"
"U/N Reef (11-307)"
"U/N Reef (11-308)"
"U/N Reef (11-309)"
"Great Detached Reef (No 7) (11-244g)"
"Great Detached Reef (No 8) (11-244h)"
"U/N Reef (11-312)"
"U/N Reef (11-313)"
"U/N Reef (11-314)"
"U/N Reef (11-315)"
"U/N Reef (11-316)"
"U/N Reef (11-317)"
"U/N Reef (11-318)"
"U/N Reef (11-319)"
"U/N Reef (11-320)"
"U/N Reef (11-321)"
"U/N Reef (11-322)"
"U/N Reef (11-323)"
"U/N Reef (11-324)"
"U/N Reef (11-800)"
"Haggerston Reef (12-001)"
"Bannan Reef (12-002)"
"Mason Reef (12-003a)"
"U/N Reef (12-003b)"
"U/N Reef (12-003c)"
"U/N Reef (12-003d)"
"Moody Reef (12-004)"
"Young Reef (12-005)"
"Laurel Reef (12-006)"
"Fison Reefs (12-027c)"
"U/N Reef (12-028)"
"U/N Reef (12-029)"
"U/N Reef (12-030)"
"U/N Reef (12-031)"
"U/N Reef (12-032)"
"U/N Reef (12-033)"
"U/N Reef (12-034)"
"U/N Reef (12-035)"
"U/N Reef (12-036)"
"Wishbone Reef (12-037)"
"U/N Reef (12-038a)"
"U/N Reef (12-038b)"
"U/N Reef (12-039)"
"U/N Reef (12-040)"
"U/N Reef (12-041)"
"U/N Reef (12-042)"
"Martha Ridgway Reef (North) (12-043a)"
"Martha Ridgway Reef (South) (12-043b)"
"Piper Reef (12-012)"
"Inset Reef (12-013)"
"Hazel Reef (12-014)"
"Ada Reef (12-015)"
"Gallon Reef (12-016a)"
"Forbes Islands Reef (12-016b)"
"U/N Reef (12-016c)"
"Lion Reef (12-017)"
"Daniell Reef (12-018)"
"North Pint Patch (12-019)"
"South Pint Patch (12-020)"
"Andrew Reef (12-021)"
"U/N Reef (12-022)"
"Kangaroo Shoals (12-023)"
"U/N Reef (12-024)"
"U/N Reef (12-025)"
"Kemp Rocks Reef (12-026)"
"Quoin Reef (12-027)"
"Eel Reef (12-027a)"
"Dolphin Reef (12-096)"
"U/N Reef (12-097)"
"Second Small Reef (12-098)"
"Southern Small Detached Reef (12-099)"
"U/N Reef (12-100)"
"U/N Reef (12-101)"
"U/N Reef (12-044)"
"U/N Reef (12-045)"
"U/N Reef (12-046)"
"U/N Reef (12-047)"
"U/N Reef (12-048)"
"U/N Reef (12-049)"
"U/N Reef (12-050)"
"U/N Reef (12-051)"
"William Reef (East) (12-052a)"
