"reefName","outbreak","nObs","cotsPerTowMean","cotsPerTowMax","cotsPerTowMedian"
"U/N Reef (10-428a)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-428b)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-429)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-430)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-431)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-432)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-434)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-436)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-437)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-438)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-439)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-440)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-325)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-442)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-443)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-444)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-445)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-800)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-801)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-807)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-407b)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-408)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-409)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-410)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-411)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-411b)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-412)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-413)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-414)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-415)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-416a)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-416b)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-417)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-418a)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-418b)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-419a)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-419b)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-420)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-421)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-422)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-423)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-424)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (10-425)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-034)",NaN,NaN,NaN,NaN,NaN
"Arnold Reef (11-001)",NaN,NaN,NaN,NaN,NaN
"Thomson Islet Reef (11-002)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-003)",NaN,NaN,NaN,NaN,NaN
"Gilmore Bank (11-004)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-005)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-006)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-007)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-008)",NaN,NaN,NaN,NaN,NaN
"Bushy Island Reef (11-009)",NaN,NaN,NaN,NaN,NaN
"Cairncross Islets Reef (11-010)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-011a)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-011b)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-012)",NaN,NaN,NaN,NaN,NaN
"Halfway Islet Reef (11-013)",NaN,NaN,NaN,NaN,NaN
"Pearn Reef (11-014)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-015)",NaN,NaN,NaN,NaN,NaN
"McSweeney Reef (11-016)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-017)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-018)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-019)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-020)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-021)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-022)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-023)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-024)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-025)",NaN,NaN,NaN,NaN,NaN
"Sinclair Reef (11-026)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-027)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-028)",NaN,NaN,NaN,NaN,NaN
"Monsoon Reef (11-029)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-030)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-031)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-032)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-033a)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-033b)",NaN,NaN,NaN,NaN,NaN
"Turning Point Patches (No 2) (11-048b)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-049)",1,6,0.223206122062829,0.780487804878049,0.0944444444444444
"U/N Reef (11-050)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-051)",NaN,NaN,NaN,NaN,NaN
"Cholmondeley Reef (11-052)",NaN,NaN,NaN,NaN,NaN
"Jardine Reef (11-053)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-054)",NaN,NaN,NaN,NaN,NaN
"Wallace Islet Reef (11-055)",NaN,NaN,NaN,NaN,NaN
"Milman-Aplin Reef (11-035)",NaN,NaN,NaN,NaN,NaN
"Parsons Reef (11-036)",NaN,NaN,NaN,NaN,NaN
"Collette Reef (11-037)",NaN,NaN,NaN,NaN,NaN
