"reefName","outbreak","nObs","cotsPerTowMean","cotsPerTowMax","cotsPerTowMedian"
"Follett Reef (21-586)",1,3,4.68582375478927,12.7241379310345,1.33333333333333
"Forbes Islands Reef (12-016b)",1,5,0.388092966916496,0.6,0.411764705882353
"Fore And Aft Reef (18-043)",1,19,0.323458462553633,4.33333333333333,0.0177165354330709
"Fork Reef (18-083)",1,13,0.0653396109936935,0.529411764705882,0
"Forrester Reef (15-009)",1,18,0.32582868708821,2.08219178082192,0.0214374482187241
"Frigate Reef (21-511)",1,7,0.187926473271301,1.10344827586207,0.037037037037037
"Gannett Cay Reef (21-556)",1,31,3.51352028938566,54.3333333333333,0.375
"Gater Reef (22-130)",1,4,2.90018939393939,10.3090909090909,0.645833333333333
"Gibson Reef (17-017)",1,11,0.0617560347746271,0.318181818181818,0
"Gilbey Reef (17-057)",1,8,1.17843311983298,6.06666666666667,0.0606382978723404
"Glow Reef (18-071)",1,5,1.74787878787879,4.8,0
"Green Island Reef (16-049)",1,31,0.0186766959618077,0.301724137931034,0
"Grub Reef (18-077)",1,16,0.861024350918205,7.01408450704225,0.0233062330623306
"Hackie Reef (22-099)",1,2,16.7107142857143,32.5714285714286,16.7107142857143
"Half Moon Reef (22-103)",1,1,7.54761904761905,7.54761904761905,7.54761904761905
"Half Tide Reef (21-564)",1,1,5.6551724137931,5.6551724137931,5.6551724137931
"Hardy Reef (19-135)",1,21,0.123611609193501,1.66165413533835,0.0075187969924812
"Hastings Reef (16-057)",1,31,0.0283809047327529,0.304,0
"Havannah Reef (18-065)",0,18,0,0,0
"Hayman Island Reef (20-014)",0,19,0.00350877192982456,0.0666666666666667,0
"Heart Reef (21-575)",1,1,11.2173913043478,11.2173913043478,11.2173913043478
"Hedley Reef (17-014)",1,16,0.0364587966442164,0.314553990610329,0
"Helix Reef (18-076)",1,22,1.09953644840008,16.45,0
"Helsdon Reef (14-135)",1,20,0.391734344354574,4.74496644295302,0.0235587583148559
"Herald No 1 (22-094)",1,2,2.39285714285714,4.5,2.39285714285714
"Heron Reef (23-052a)",0,8,0.027614232264025,0.050682261208577,0.0305298308967713
"Hilder Reef (14-085)",0,10,0,0,0
"Hill Reef (21-579)",1,1,5.6,5.6,5.6
"Hixson Cay Reef (22-145)",1,4,3.05,12,0.1
"Hook Reef (22-116)",1,3,6.30104463437797,17.8846153846154,1.01851851851852
"Hope Islands Reef (East) (15-065)",1,3,0.161904761904762,0.485714285714286,0
"Hope Reef (19-046)",1,6,0.204714640198511,0.615384615384615,0
"Hopkinson Reef (18-073)",1,12,2.44574841925383,18.921568627451,0.0210615891926391
"Horseshoe Reef (No 1) (22-104a)",1,25,2.1478227176412,15.6533333333333,0.44047619047619
"Hoskyn Islands Reef (23-080)",0,17,0.0129291061190596,0.111111111111111,0
"Howard Patch (No 1) (22-148a)",1,4,15.0909090909091,59.8181818181818,0.272727272727273
"Howard Patch (No 2) (22-148b)",1,4,4.76422764227642,18.6666666666667,0.195121951219512
"Howard Patch (No 3) (22-148c)",1,2,0.666666666666667,1.33333333333333,0.666666666666667
"Howie Reef (17-018a)",1,8,0.0636782972733737,0.247311827956989,0.0203735144312394
"Hyde Reef (19-207)",0,24,0.00277777777777778,0.0666666666666667,0
"Irene Reef (15-084)",1,13,0.274255486321028,1.68181818181818,0.0184210526315789
"Jacqueline Reef (19-061)",0,9,0.0126986055544466,0.0645161290322581,0
"Jaguar Reef (18-120)",0,9,0.0104104104104104,0.0666666666666667,0
"Jenkins Reef (21-584)",1,9,0.651649474408095,5.57333333333333,0.0256410256410256
"John Brewer Reef (18-075)",1,35,1.47407012164048,34.02,0.00840336134453781
"Judith Wright Reef (18-101)",1,9,0.122287372757362,0.7,0.023696682464455
"Junior Reef (22-122)",1,3,1.70666666666667,5.12,0
