"reefName","cotsPerTowMaxImput","cotsPerTowMeanImput","cotsPerTowMedianImput","x","y","area"
"U/N Reef (21-535)",4.84818447018793,0.773591104721927,0.196561064483518,152.12477112,-21.90052986,129427.2494
"Mervs Reef (21-536)",6.94460822993059,1.11904275804047,0.214171609735149,152.36442566,-21.89227295,9006429.734
"U/N Reef (21-537)",6.99804817527289,1.13155321737431,0.222264659344819,152.39520264,-21.88080788,1466764.66
"U/N Reef (21-631)",0.170957185629914,0.270057294881997,0.0658540977494739,152.1809082,-21.40065384,215896.7757
"U/N Reef (21-632)",0.184647835590653,0.264224140845871,0.0675426643584348,152.25007629,-21.33128357,456184.0431
"U/N Reef (21-633)",0.169227081823685,0.325862584943771,0.0908540977494739,152.25395203,-21.37068367,60521.33354
"U/N Reef (21-634)",0.108855247162846,0.176396624399955,0.0136168352784957,152.26057434,-21.19899178,346985.9319
"U/N Reef (21-635)",0.130621644515683,0.150157770468151,0.012296349535185,152.27746582,-21.28526878,110277.7677
"U/N Reef (21-636)",0.130621644515683,0.181866489066946,0.0151339686586892,152.30480957,-21.26282501,57860.4225
"U/N Reef (21-637)",1.707199607771,0.447456961639537,0.104541105466476,152.35221863,-21.3247242,106055.6161
"U/N Reef (21-638)",1.60677610143153,0.548158597023022,0.0992882423101503,152.40609741,-21.37353134,96844.12738
"U/N Reef (21-639)",0.108855247162846,0.19622679614286,0.0129424672452015,152.41117859,-21.15945244,1760331.009
"U/N Reef (21-640)",0.108855247162846,0.186120211118092,0.012261284758612,152.41990662,-21.18358803,583967.2096
"U/N Reef (21-641)",0.108855247162846,0.186120211118092,0.012261284758612,152.42584229,-21.16960144,131022.4387
"U/N Reef (21-642)",1.60677610143153,0.594930110444835,0.0995087940000111,152.46737671,-21.39974022,211178.6629
"U/N Reef (21-811)",0.423310063527455,0.11748331063171,0.0251988345505426,151.14311218,-21.33972168,23061.58043
"U/N Reef (21-812)",0.384648781945352,0.109651089922929,0.0235189122471731,151.14637756,-21.25601768,2005811.12
"U/N Reef (21-813)",0.286405301622693,0.11748331063171,0.0251988345505426,151.18632507,-21.299263,2708266.246
"U/N Reef (21-814)",0.131904761904762,0.0802097009028344,0.0251988345505426,151.23287964,-21.46313095,62886.91641
"U/N Reef (21-815)",0.219054202161502,0.126520488372611,0.0271372064390459,151.27093506,-21.10435295,304414.3158
"U/N Reef (21-816)",0.219054202161502,0.126520488372611,0.0271372064390459,151.29083252,-21.09406281,212769.6873
"U/N Reef (21-817)",0.32104162070257,0.0932080656874532,0.0293986403089664,151.32752991,-21.00745964,89775.09061
"U/N Reef (21-818)",0.0417716839735188,0.0932080656874532,0.0293986403089664,151.36375427,-21.0047226,86736.36916
"U/N Reef (21-819)",0.113065593209761,0.0863534729927058,0.0271372064390459,151.39259338,-21.05715752,98858.70785
"U/N Reef (21-820)",0.131909858744721,0.0863534729927058,0.0271372064390459,151.40185547,-21.04515648,117998.9086
"U/N Reef (21-821)",0.101912228305957,0.0417266386327708,0.00938901817313491,151.40361023,-21.5834465,405074.3071
"U/N Reef (21-822)",0.150952380952381,0.0863534729927058,0.0271372064390459,151.40855408,-21.03129196,28417.17428
"U/N Reef (21-465)",1.75799086757991,0.344125783606807,0.0661779324055666,151.88204956,-21.80438995,32416108.82
"U/N Reef (21-466)",0.00949796472184532,0.00381957788566364,0.00289017341040462,151.98693848,-21.83785439,24010089.54
"U/N Reef (21-467)",0.00934579439252336,0.00155763239875389,0,151.92630005,-21.8867054,10462782.89
"Emperor Reef (21-538)",0.0430769230769231,0.012949749940462,0,152.44381714,-21.8837204,22515968.94
"U/N Reef (21-539)",0,0,0,152.27110291,-21.94011307,16567354.6
"U/N Reef (21-540)",7.51376049674105,1.24901625697841,0.222264659344819,152.47772217,-21.9057827,2093309.525
"U/N Reef (21-541)",7.51376049674105,1.24901625697841,0.222264659344819,152.45027161,-21.90856934,70068.58046
"U/N Reef (21-542)",0.0769230769230769,0.0384615384615385,0.0384615384615385,152.46600342,-21.91745758,3083956.373
"Long Reef (21-543)",7.12188862054191,1.16352738322157,0.212615536537802,152.39266968,-21.92293739,2418018.387
"U/N Reef (21-643)",1.707199607771,0.48612425206243,0.0994797624194723,152.47348022,-21.34479141,62155.8896
"U/N Reef (21-644)",1.60677610143153,0.595005476376882,0.099436539664751,152.48686218,-21.37724686,191360.3379
"U/N Reef (21-645)",0.114696588787116,0.208362124973187,0.0116482205206814,152.49871826,-21.21731758,8339.103608
"U/N Reef (21-655)",0.137614825977524,0.220328007212746,0.0145602756508517,152.49911499,-21.11686897,135155.0526
"U/N Reef (21-656)",0.100849137769798,0.24845952434561,0.0149849281628903,152.51300049,-21.0743885,763771.0916
"U/N Reef (21-657)",1.81992001878087,0.509720462252819,0.073769836607191,152.54901123,-21.36834717,77849.35777
"U/N Reef (21-658)",2.08727035134056,0.216342036767062,0.0300997027598589,152.55232239,-21.30671501,141195.967
"U/N Reef (21-659)",0.137614825977524,0.207367536200231,0.0137037888478604,152.57507324,-21.1593914,82088.83372
"U/N Reef (21-660)",0.137614825977524,0.207367536200231,0.0137037888478604,152.58155823,-21.15351486,71514.65343
"U/N Reef (21-661)",1.94583267318358,0.464217621825364,0.0635835489997188,152.59082031,-21.3647728,2106627.465
"U/N Reef (21-663)",0.137614825977524,0.230560614936167,0.0129424672452015,152.67077637,-21.23773766,453414.641
"U/N Reef (21-823)",0.116865079365079,0.0607351310192947,0.0168916227462031,151.45344543,-21.33267212,1418115.748
"U/N Reef (21-824)",0.140238095238095,0.0863534729927058,0.0271372064390459,151.49551392,-21.05808449,1230074.178
"U/N Reef (21-825)",0.164880952380952,0.0863534729927058,0.0271372064390459,151.49615479,-21.02639198,108779.4814
"U/N Reef (21-826)",0,0.129155382072411,0.0428277933246877,150.95077515,-21.69025612,257103.2231
"U/N Reef (21-827)",0,0.101784893511895,0.0297391304347826,150.90606689,-21.71020126,19452637.6
"U/N Reef (21-828)",0,0.0295952846868775,0.00883152173913043,151.01837158,-21.7247467,465207.9847
"U/N Reef (21-460)",0,0,0,151.74217224,-21.71146393,21827965.65
"U/N Reef (21-461)",1.2404354993078,0.528949298788522,0.15125603583958,151.86045837,-21.69746208,3066460.977
"U/N Reef (21-462)",0.975100991567782,0.602307220274998,0.15164666083958,151.98464966,-21.71365356,5311168.865
"U/N Reef (21-463)",0.990008114967431,0.602307220274998,0.15164666083958,151.94422913,-21.73451805,6092632.143
"U/N Reef (21-464)",0.0121951219512195,0.0044390243902439,0,151.77368164,-21.75589371,11413621.98
"U/N Reef (21-544)",0.0134529147982063,0.00382694659600489,0,152.10873413,-21.92170143,20325067.31
"Moon Reef (21-545)",7.6038949114416,1.26096924551543,0.222264659344819,152.4342041,-21.92556763,1284016.02
"U/N Reef (21-546)",7.76976363153729,1.32103522280664,0.238410492678153,152.49261475,-21.93086052,1244355.356
"U/N Reef (21-547)",5.12026082074415,0.876581358401674,0.204603022525476,152.2117157,-21.94097519,2471149.615
"U/N Reef (21-664)",0.137614825977524,0.234254636265024,0.0155309606942418,152.68000793,-21.14983749,890228.5839
"U/N Reef (21-665)",0.276418878704951,0.0455525359349488,0.0115187602590407,151.62016296,-21.49674034,69671.40721
"U/N Reef (21-666)",0.276418878704951,0.0455525359349488,0.0115187602590407,151.63653564,-21.51146507,172420.351
"U/N Reef (21-667)",0.24972678730664,0.18948933242299,0.0630326476217399,151.86720276,-21.43146133,1665213.222
"U/N Reef (21-668)",1.13705632394207,0.530037468431379,0.15164666083958,151.89093018,-21.77956772,169108.9647
"U/N Reef (21-669)",1.13705632394207,0.530037468431379,0.15164666083958,151.89456177,-21.7827549,65819.7017
"U/N Reef (21-670)",0.212137091152571,0.404799152191815,0.0902839855699867,151.89585876,-21.60844421,209960.345
"U/N Reef (21-671)",1.13705632394207,0.530037468431379,0.15164666083958,151.89967346,-21.78518867,75827.8775
"U/N Reef (21-672)",0.22431877958235,0.404799152191815,0.0902839855699867,151.90309143,-21.59080315,538490.3327
"U/N Reef (21-673)",0.227873969768993,0.31284449431276,0.0554136420304853,151.91821289,-21.47489166,2512166.642
"U/N Reef (21-674)",1.72073506920676,0.602307220274998,0.15164666083958,151.92616272,-21.80414963,63710.48847
"Wild Duck Island Reef (No 1) (22-003a)",NaN,NaN,NaN,149.88702393,-21.99606133,1139972.917
"Wild Duck Island Reef (No 2) (22-003b)",NaN,NaN,NaN,149.86808777,-22.00758362,725732.541
"Infelix Islets Reef (22-005)",NaN,NaN,NaN,149.83076477,-22.0241642,1951158.91
"U/N Reef (21-468)",1.27357157423599,0.595559749968561,0.149472029294129,152.41918945,-21.50375557,5825037.409
"U/N Reef (21-469)",1.19898602552715,0.595559749968561,0.149472029294129,152.38902283,-21.5148201,182349.8753
"U/N Reef (21-470)",1.38360417014247,0.701944669335448,0.162286679720773,152.49479675,-21.51159668,2073377.585
"U/N Reef (21-471)",0.221169794973248,0.314380119990075,0.0536044983904995,152.04995728,-21.49883652,3414820.756
"U/N Reef (21-472)",1.33400449777333,0.648344775059318,0.151274774958869,152.45518494,-21.52105713,69701.58725
